race_name,short_race_name,date,lap,driver_ID,driver,section,speed_mph
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S01_FS_PO,139.565
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S02_Turn1,65.373
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S03_Turns2_3,70.459
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S04_Turn4,50.949
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S05_Turns5_8,39.571
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S06_Turn9,48.238
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S07_Turn9a,91.53
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S08_Turn10,65.196
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S09_Turns11_12,82.639
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S10_Turns13_14,62.936
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",S11_FS_PI,78.791
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,51,"Abel, Jacob",lap_speed_mph,67.017
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,51,"Abel, Jacob",S01_FS_PO,88.832
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,51,"Abel, Jacob",S02_Turn1,61.831
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,51,"Abel, Jacob",S03_Turns2_3,24.625
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,51,"Abel, Jacob",S04_Turn4,71.908
