school,fall_year,spring_year,academic_year,field,CIP_code,gender,race,ftug_enrollment
Stanford,2022,2023,2022-23,education,13.0000,male,US Nonresident,0
Stanford,2022,2023,2022-23,education,13.0000,male,Hispanic/Latinx,0
Stanford,2022,2023,2022-23,education,13.0000,male,Amer Ind or AK Native,0
Stanford,2022,2023,2022-23,education,13.0000,male,Asian,0
Stanford,2022,2023,2022-23,education,13.0000,male,Black or Af Amer,0
Stanford,2022,2023,2022-23,education,13.0000,male,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,education,13.0000,male,White,0
Stanford,2022,2023,2022-23,education,13.0000,male,Two or More,0
Stanford,2022,2023,2022-23,education,13.0000,male,Unknown,0
Stanford,2022,2023,2022-23,education,13.0000,female,US Nonresident,0
Stanford,2022,2023,2022-23,education,13.0000,female,Hispanic/Latinx,0
Stanford,2022,2023,2022-23,education,13.0000,female,Amer Ind or AK Native,0
Stanford,2022,2023,2022-23,education,13.0000,female,Asian,0
Stanford,2022,2023,2022-23,education,13.0000,female,Black or Af Amer,0
Stanford,2022,2023,2022-23,education,13.0000,female,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,education,13.0000,female,White,0
Stanford,2022,2023,2022-23,education,13.0000,female,Two or More,0
Stanford,2022,2023,2022-23,education,13.0000,female,Unknown,0
Stanford,2022,2023,2022-23,engineering,14.0000,male,US Nonresident,30
Stanford,2022,2023,2022-23,engineering,14.0000,male,Hispanic/Latinx,72
Stanford,2022,2023,2022-23,engineering,14.0000,male,Amer Ind or AK Native,4
Stanford,2022,2023,2022-23,engineering,14.0000,male,Asian,69
Stanford,2022,2023,2022-23,engineering,14.0000,male,Black or Af Amer,26
Stanford,2022,2023,2022-23,engineering,14.0000,male,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,engineering,14.0000,male,White,89
Stanford,2022,2023,2022-23,engineering,14.0000,male,Two or More,30
Stanford,2022,2023,2022-23,engineering,14.0000,male,Unknown,0
Stanford,2022,2023,2022-23,engineering,14.0000,female,US Nonresident,36
Stanford,2022,2023,2022-23,engineering,14.0000,female,Hispanic/Latinx,58
Stanford,2022,2023,2022-23,engineering,14.0000,female,Amer Ind or AK Native,3
Stanford,2022,2023,2022-23,engineering,14.0000,female,Asian,68
Stanford,2022,2023,2022-23,engineering,14.0000,female,Black or Af Amer,24
Stanford,2022,2023,2022-23,engineering,14.0000,female,Nat HA or Other Pac Isl,2
Stanford,2022,2023,2022-23,engineering,14.0000,female,White,78
Stanford,2022,2023,2022-23,engineering,14.0000,female,Two or More,30
Stanford,2022,2023,2022-23,engineering,14.0000,female,Unknown,1
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,US Nonresident,1
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,Hispanic/Latinx,6
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,Amer Ind or AK Native,4
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,Asian,20
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,Black or Af Amer,8
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,Nat HA or Other Pac Isl,1
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,White,13
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,Two or More,5
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,male,Unknown,0
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,US Nonresident,6
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,Hispanic/Latinx,11
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,Amer Ind or AK Native,0
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,Asian,15
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,Black or Af Amer,4
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,White,21
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,Two or More,5
Stanford,2022,2023,2022-23,biological and biomedical sciences,26.0000,female,Unknown,0
Stanford,2022,2023,2022-23,mathematics,27.0000,male,US Nonresident,33
Stanford,2022,2023,2022-23,mathematics,27.0000,male,Hispanic/Latinx,19
Stanford,2022,2023,2022-23,mathematics,27.0000,male,Amer Ind or AK Native,0
Stanford,2022,2023,2022-23,mathematics,27.0000,male,Asian,57
Stanford,2022,2023,2022-23,mathematics,27.0000,male,Black or Af Amer,8
Stanford,2022,2023,2022-23,mathematics,27.0000,male,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,mathematics,27.0000,male,White,40
Stanford,2022,2023,2022-23,mathematics,27.0000,male,Two or More,13
Stanford,2022,2023,2022-23,mathematics,27.0000,male,Unknown,1
Stanford,2022,2023,2022-23,mathematics,27.0000,female,US Nonresident,19
Stanford,2022,2023,2022-23,mathematics,27.0000,female,Hispanic/Latinx,2
Stanford,2022,2023,2022-23,mathematics,27.0000,female,Amer Ind or AK Native,0
Stanford,2022,2023,2022-23,mathematics,27.0000,female,Asian,25
Stanford,2022,2023,2022-23,mathematics,27.0000,female,Black or Af Amer,3
Stanford,2022,2023,2022-23,mathematics,27.0000,female,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,mathematics,27.0000,female,White,18
Stanford,2022,2023,2022-23,mathematics,27.0000,female,Two or More,5
Stanford,2022,2023,2022-23,mathematics,27.0000,female,Unknown,1
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,US Nonresident,19
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,Hispanic/Latinx,17
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,Amer Ind or AK Native,0
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,Asian,21
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,Black or Af Amer,3
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,White,34
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,Two or More,7
Stanford,2022,2023,2022-23,physical sciences,40.0000,male,Unknown,0
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,US Nonresident,8
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,Hispanic/Latinx,13
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,Amer Ind or AK Native,1
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,Asian,20
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,Black or Af Amer,3
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,White,34
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,Two or More,20
Stanford,2022,2023,2022-23,physical sciences,40.0000,female,Unknown,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,US Nonresident,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,Hispanic/Latinx,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,Amer Ind or AK Native,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,Asian,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,Black or Af Amer,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,Nat HA or Other Pac Isl,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,White,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,Two or More,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,male,Unknown,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,female,US Nonresident,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,female,Hispanic/Latinx,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,female,Amer Ind or AK Native,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,female,Asian,0
Stanford,2022,2023,2022-23,"business, management, marketing, and related support services",52.0000,female,Black or Af Amer,0
