person_number,pid,level,func_dept,region,emailcount,meetingcount,centrality,emailcount_int,meetingcount_int,emailcount_ext,meetingcount_ext,attainquota
1,6,Exec,Operations,Central,3066,3970.4,0.24190354,3066,2759,0,1211.4,NA
2,7,Junior,Operations,West,17210,853,0.29707286,6978,697,10232,156,NA
3,8,MidLevel,Operations,West,5866,0,0.34625369,5830,0,36,0,NA
4,9,MidLevel,Operations,Central,8826,5356,0.33971581,6652,4137,2174,1219,NA
5,10,MidLevel,R&D,Central,9754,6293,0.30871445,5784,4808,3970,1485,NA
6,13,Junior,Operations,West,9905,0,0.23139203,5805,0,4100,0,NA
7,14,MidLevel,Operations,Central,3892,1922,0.17280692,2546,1727,1346,195,NA
8,15,MidLevel,Operations,Central,13397,5496,0.35080594,6767,4563,6630,933,NA
9,17,Junior,Operations,Central,1749,784,0.13453534,1617,701,132,83,NA
10,22,Junior,Operations,Central,4700,2190,0.30072936,4240,1970,460,220,NA
11,35,MidLevel,Operations,Central,9737,2463,0.29207462,5405,1918,4332,545,NA
12,41,MidLevel,Operations,Central,3434,1766,0.30965418,2770,1430,664,336,NA
13,44,Junior,Operations,Central,1234,1286,0.08717446,1078,1075,156,211,NA
14,45,Junior,Operations,West,2389,1740,0.1537682,1671,1198,718,542,NA
15,50,Junior,Operations,Central,5943,885,0.27090237,3135,797,2808,88,NA
16,55,Junior,Operations,West,2620,1106,0.1980893,2310,963,310,143,NA
17,61,Junior,Operations,West,3510,1624,0.17881317,2508,1250,1002,374,NA
18,63,MidLevel,Operations,Central,3351,2201,0.29026058,3077,1863,274,338,NA
19,64,MidLevel,Operations,West,4494,3830,0.24248838,3038,2700,1456,1130,NA
20,66,MidLevel,Operations,South,1777,0,0.071577683,1413,0,364,0,NA
21,81,Exec,G&A,Central,8011,0,0.45499673,7091,0,920,0,NA
22,82,Junior,Operations,Central,2048,3701,0.43006051,1978,2982,70,719,NA
23,83,Junior,Operations,Central,944,154,0.1457777,944,136,0,18,NA
24,89,Exec,G&A,Central,8553,2065,0.5068329,8071,1693,482,372,NA
25,91,Junior,G&A,Central,5468,0,0.406544,3906,0,1562,0,NA
26,94,MidLevel,Operations,West,7563,0,0.22699778,4703,0,2860,0,NA
27,103,MidLevel,Operations,Central,13941,0,0.35459727,7549,0,6392,0,NA
28,112,MidLevel,Operations,Central,4246,1305,0.23533267,3398,1146,848,159,NA
29,113,MidLevel,G&A,Central,4809,1162,0.55977488,3879,1037,930,125,NA
30,116,MidLevel,G&A,Central,10104,1339,0.92291415,7204,1182,2900,157,NA
31,117,Junior,G&A,West,2714,9,0.21785519,2342,7,372,2,NA
32,119,MidLevel,R&D,Central,1610,1340,0.29960468,1562,1216,48,124,NA
33,120,MidLevel,Operations,Central,3065,0,0.30468702,2741,0,324,0,NA
34,123,Junior,G&A,Central,4757,1094,0.46285743,4003,983,754,111,NA
35,124,MidLevel,G&A,West,4219,193,0.28517619,3793,170,426,23,NA
36,128,MidLevel,G&A,Central,2607,2745,0.37521157,2417,2330,190,415,NA
37,135,Junior,HR,Central,5492,127,0.59840077,3758,103,1734,24,NA
38,142,MidLevel,G&A,Central,8562,748,0.80563992,6430,677,2132,71,NA
39,145,Junior,Operations,South,8207,1056,0.17617552,6027,764,2180,292,NA
40,147,MidLevel,Operations,South,2541,513,0.10218003,2397,318,144,195,NA
41,150,Exec,Operations,Central,14183,4974.4,0.69993347,12709,3541,1474,1433.4,NA
42,161,Junior,G&A,Central,2405,537,0.19614288,2403,488,2,49,NA
43,162,Junior,Operations,South,1183,0,0.059344858,773,0,410,0,NA
44,170,MidLevel,G&A,West,5332,0,0.33598015,4774,0,558,0,NA
45,184,MidLevel,Operations,Central,8797,1078,0.66872084,5225,945,3572,133,NA
46,185,MidLevel,Operations,Central,4457,0,0.15065913,3745,0,712,0,NA
47,192,MidLevel,Operations,Central,10710,3849,0.48088241,7732,3068,2978,781,NA
48,197,Junior,Operations,Central,2347,1539,0.22326672,1883,1343,464,196,NA
49,204,MidLevel,Operations,West,5549,13,0.28260383,5429,13,120,0,NA
50,219,MidLevel,Operations,West,7873,2176,0.25316432,7097,2082,776,94,NA
51,223,Junior,Product Management,Central,1837,669,0.23395185,1439,582,398,87,NA
52,227,Exec,Operations,Central,5571,2972,0.32458058,3987,2542,1584,430,NA
53,246,Junior,Operations,West,12710,1102,0.25398922,6264,753,6446,349,NA
54,250,Junior,Operations,West,4483,2454,0.20276666,3719,1950,764,504,NA
55,256,MidLevel,G&A,West,4441,1917,0.35167834,4235,1668,206,249,NA
56,258,Exec,G&A,Central,5888,2258,0.52171636,5888,1944,0,314,NA
57,259,MidLevel,G&A,Central,3603,1155,0.30697623,3059,1031,544,124,NA
58,264,MidLevel,Operations,West,11033,467,0.30166629,8095,401,2938,66,NA
59,266,MidLevel,Operations,West,4691,2065,0.23076002,4243,1579,448,486,NA
60,267,MidLevel,Operations,Central,2313,940,0.17619959,2023,777,290,163,NA
61,268,Exec,R&D,Central,10669,5949,0.4781113,8527,4450,2142,1499,NA
62,277,Junior,Operations,West,2166,888,0.25337562,2138,766,28,122,NA
63,279,MidLevel,Operations,West,3791,0,0.22884382,2865,0,926,0,NA
64,283,Exec,Operations,Central,2274,5181,0.23745209,2258,3733,16,1448,NA
65,286,MidLevel,R&D,Central,3785,1239,0.14495398,2849,708,936,531,NA
66,287,MidLevel,Operations,South,1396,146,0.051690344,1396,100,0,46,NA
67,295,Junior,G&A,Central,5552,1080,0.47811908,3654,980,1898,100,NA
68,299,Junior,R&D,West,577,273,0.087963641,545,246,32,27,NA
69,309,Junior,Operations,Central,2091,2601,0.32808575,1891,2047,200,554,NA
70,310,Exec,Product Management,Central,2401,1203,0.34661061,1819,1042,582,161,NA
71,313,Junior,Operations,West,9951,1664,0.29861614,9551,1630,400,34,NA
72,314,Junior,Operations,West,8547,1849,0.28072011,7377,1838,1170,11,NA
73,317,MidLevel,G&A,Central,5137,1707,0.26385078,3657,1539,1480,168,NA
74,325,MidLevel,Operations,West,3018,1342,0.15860178,2652,1197,366,145,NA
75,328,Junior,Operations,West,7009,2811,0.31274232,6617,2781,392,30,NA
76,329,MidLevel,Operations,Central,14268,0,0.42637265,10800,0,3468,0,NA
77,341,Exec,Sales,Central,5499,1992,0.61452127,5499,1042,0,950,115.07752
78,344,Junior,Operations,West,1545,2050,0.083640218,1545,1416,0,634,NA
79,346,MidLevel,Operations,West,3205,1395,0.18318816,2703,984,502,411,NA
80,348,Junior,R&D,West,4907,0,0.19217275,2597,0,2310,0,NA
81,363,Junior,Operations,West,6047,1340,0.21733023,4431,896,1616,444,NA
82,364,Exec,Operations,Central,4018,3460,0.36888304,4018,2879,0,581,NA
83,366,Junior,G&A,Central,14846,3998,0.63534713,11928,3145,2918,853,NA
84,368,Junior,R&D,Central,947,1155,0.10511571,775,1023,172,132,NA
85,372,MidLevel,Product Management,Central,5156,1156,0.46896449,3864,998,1292,158,NA
86,373,MidLevel,Operations,West,4654,606,0.16501099,3254,542,1400,64,NA
87,374,Junior,Operations,West,8292,2389,0.29020163,7932,2383,360,6,NA
88,381,MidLevel,Product Management,Central,6190,6064,0.58371204,6190,4756,0,1308,NA
89,385,Junior,Operations,Central,1843,32,0.12245534,1593,30,250,2,NA
90,388,MidLevel,R&D,Central,6828,4419,0.29125509,4062,3552,2766,867,NA
91,391,Junior,Operations,West,2903,2013,0.26921731,2873,1770,30,243,NA
92,395,Junior,Operations,West,11113,805,0.33507746,7421,677,3692,128,NA
93,397,MidLevel,Operations,Central,5349,0,0.30854949,4413,0,936,0,NA
94,409,Junior,Operations,Central,7814,0,0.7177456,5016,0,2798,0,NA
95,411,Junior,R&D,Central,1741,2706,0.16823334,1439,2452,302,254,NA
96,417,MidLevel,G&A,Central,9856,1029,0.44904298,6666,815,3190,214,NA
97,419,MidLevel,Operations,West,6405,312,0.18619092,3801,306,2604,6,NA
98,435,Junior,Operations,West,2776,824,0.21822502,2682,659,94,165,NA
99,444,Junior,Operations,South,2078,160,0.057722304,1148,145,930,15,NA
100,448,Junior,G&A,Central,9961,1560,0.81727958,7563,1329,2398,231,NA
101,449,Junior,G&A,Central,4754,1440,0.56424314,3520,1249,1234,191,NA
102,454,Junior,Operations,Central,4353,585,0.21627067,2441,524,1912,61,NA
103,464,MidLevel,Operations,Central,4493,1187,0.42206651,4299,1093,194,94,NA
104,473,Exec,Product Management,Central,10024,1631,0.58480173,7860,1295,2164,336,NA
105,474,MidLevel,Product Management,Central,13064,0,0.60169607,10350,0,2714,0,NA
