race_name,short_race_name,date,lap,driver_ID,driver,section,speed_mph
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S01_FS_PO,128.021
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S02_Turn1Entry,50.58
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S03_Turn1Exit,104.603
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S04_Turn1A,138.58
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S05_Turn2_3,73.186
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S06_Turn4_5,70.465
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S07_Turn6,81.05
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S08)BackStretchA,148.913
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S09_BackStretchB,158.23
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S10_Turn7,78.302
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S11_Turn8,101.613
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S12_Turn9,115.551
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S13_Turn9A,144.107
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S14_Turn10_13,124.132
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S15_Turn14,74.04
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S16_Turn14A,134.193
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S17_Turn14B,154.968
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S18_Turn15_16,94.234
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S19_Turn17,119.52
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",S20_FS_PI,131.706
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,1,51,"Abel, Jacob",lap_speed_mph,98.194
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S01_FS_PO,139.821
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S02_Turn1Entry,63.359
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S03_Turn1Exit,112.474
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S04_Turn1A,142.199
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S05_Turn2_3,79.94
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S06_Turn4_5,77.86
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S07_Turn6,84.789
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S08)BackStretchA,153.708
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S09_BackStretchB,164.123
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S10_Turn7,78.278
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S11_Turn8,101.809
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S12_Turn9,115.142
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S13_Turn9A,144.307
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S14_Turn10_13,133.18
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S15_Turn14,75.345
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S16_Turn14A,134.097
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S17_Turn14B,159.182
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S18_Turn15_16,95.573
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S19_Turn17,121.179
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",S20_FS_PI,135.561
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,2,51,"Abel, Jacob",lap_speed_mph,103.339
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S01_FS_PO,146.206
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S02_Turn1Entry,63.449
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S03_Turn1Exit,113.154
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S04_Turn1A,140.501
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S05_Turn2_3,80.03
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S06_Turn4_5,77.459
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S07_Turn6,85.562
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S08)BackStretchA,150.191
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S09_BackStretchB,162.844
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S10_Turn7,79.812
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S11_Turn8,104.44
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S12_Turn9,116.682
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S13_Turn9A,146.755
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S14_Turn10_13,134.309
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S15_Turn14,76.163
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S16_Turn14A,132.804
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S17_Turn14B,159.173
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S18_Turn15_16,95.602
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S19_Turn17,121.204
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",S20_FS_PI,134.4
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,3,51,"Abel, Jacob",lap_speed_mph,104.015
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S01_FS_PO,145.017
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S02_Turn1Entry,63.324
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S03_Turn1Exit,112.52
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S04_Turn1A,140.996
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S05_Turn2_3,80.489
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S06_Turn4_5,77.32
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S07_Turn6,84.989
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S08)BackStretchA,154.012
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S09_BackStretchB,165.242
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S10_Turn7,77.456
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S11_Turn8,101.926
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S12_Turn9,115.256
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S13_Turn9A,144.834
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S14_Turn10_13,133.829
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S15_Turn14,75.71
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S16_Turn14A,132.255
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S17_Turn14B,159.535
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S18_Turn15_16,95.664
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S19_Turn17,121.922
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",S20_FS_PI,133.51
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,4,51,"Abel, Jacob",lap_speed_mph,103.422
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S01_FS_PO,145.401
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S02_Turn1Entry,63.693
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S03_Turn1Exit,113.224
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S04_Turn1A,142.288
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S05_Turn2_3,80.477
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S06_Turn4_5,77.934
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S07_Turn6,84.061
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S08)BackStretchA,149.325
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S09_BackStretchB,162.31
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S10_Turn7,79.343
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S11_Turn8,102.955
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S12_Turn9,114.77
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S13_Turn9A,142.068
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-25,5,51,"Abel, Jacob",S14_Turn10_13,134.63
