personid,appyear,gpa,stem,schoolsel,major1,major2,minor,major1group,major2group,minorgroup,undergrad_uni,essay1length,essay2length,essay3length,essayuniquewords,essayssentiment,signupdate,starteddate,appdeadline,submitteddate,attendedevent,completedadm
7,2015-16,3.1,0,less_selective,education (secondary),none,none,education,none,none,other,190,290,295,331,-0.025725602,56,56,October,13,0,1
8,2015-16,3.14,0,selective,other,none,none,other,none,none,other,226,212,153,250,0.213712427,162,19,August,16,0,1
9,2015-16,3.34,0,most_selective,political science,none,none,social sciences,none,none,other,294,295,289,351,-0.126805236,123,9,August,0,1,1
10,2015-16,2.83,0,most_selective,sociology,economics,education (general),social sciences,social sciences,education,school 488,297,290,289,419,0.318069956,168,21,August,0,0,1
16,2015-16,3.32,1,more_selective,other,none,none,other,none,none,other,297,291,296,374,0.42463317,17,17,October,0,0,1
22,2015-16,3.08,0,more_selective,english,none,other,humanities,none,other,school 1533,294,291,222,369,0.306079128,12,12,October,0,0,1
41,2015-16,3.63,0,most_selective,history,other,none,humanities,other,none,school 488,289,186,52,230,0.515265517,8,8,October,1,0,1
48,2015-16,3.41,0,more_selective,other,none,english,other,none,humanities,school 938,300,289,247,391,0.358633068,123,39,September,0,0,1
53,2015-16,2.68,0,less_selective,psychology,none,none,social sciences,none,none,other,233,161,248,292,-0.003391791,39,39,October,31,0,1
71,2015-16,3.92,1,selective,biology,none,none,stem,none,none,other,257,200,136,274,0.075327013,20,20,August,13,0,1
77,2015-16,3.55,0,more_selective,other,other,none,other,other,none,other,102,159,115,192,-0.181996469,190,71,October,0,0,1
80,2015-16,3.09,0,less_selective,education early childhood,none,none,education,none,none,other,247,293,91,306,0.349238831,40,19,August,0,1,1
81,2015-16,3.39,0,less_selective,other,none,none,other,none,none,other,296,241,147,321,0.146942279,46,46,October,1,0,1
88,2015-16,3.43,0,most_selective,political science,none,education (general),social sciences,none,education,other,284,291,294,413,0.315072577,32,32,October,0,0,1
102,2015-16,3.25,0,less_selective,other,none,none,other,none,none,other,170,286,146,292,-0.020425147,0,0,October,-1,0,1
118,2015-16,3.76,0,more_selective,international studies/relations,other,none,social sciences,other,none,other,298,239,183,327,-0.089271048,78,78,October,0,0,1
120,2015-16,2.67,0,more_selective,economics,none,none,social sciences,none,none,other,282,293,272,410,0.547137584,21,17,August,2,0,1
121,2015-16,3.24,0,more_selective,other,international studies/relations,spanish,other,social sciences,humanities,school 1096,287,290,239,387,0.10110319,21,21,October,5,0,1
136,2015-16,3.14,0,selective,psychology,criminal justice,none,social sciences,social sciences,none,other,251,287,290,370,-0.242933844,24,24,October,2,0,1
181,2015-16,3.5,1,selective,biology,psychology,none,stem,social sciences,none,other,288,291,224,337,-0.201659282,15,15,October,2,0,1
182,2015-16,3.56,1,more_selective,political science,biology,none,social sciences,stem,none,other,267,273,146,267,0.178393811,23,23,October,18,0,1
189,2015-16,3.5,0,selective,political science,history,none,social sciences,humanities,none,other,296,294,254,426,0.205478207,68,68,October,0,0,1
215,2015-16,3.42,0,less_selective,international studies/relations,none,none,social sciences,none,none,other,298,294,277,357,-0.314405693,28,28,October,3,0,1
241,2015-16,3.78,1,more_selective,other,none,none,other,none,none,other,287,284,287,363,0.124045593,109,65,October,0,0,1
244,2015-16,3.3,0,less_selective,criminal justice,none,political science,social sciences,none,social sciences,other,154,192,245,279,0.038747207,78,78,October,0,0,1
255,2015-16,3.36,0,more_selective,history,none,communications,humanities,none,business,school 221,293,291,192,379,0.162063703,31,31,October,0,0,1
256,2015-16,3.38,0,most_selective,english,other,none,humanities,other,none,other,290,296,291,394,-0.282689902,34,34,October,0,1,1
262,2015-16,3.41,0,most_selective,other,history,other,other,humanities,other,school 155,295,263,298,360,0.240327648,7,7,October,0,1,1
268,2015-16,3.62,0,unknown,other,other,none,other,other,none,other,185,163,278,278,-0.06658072,23,23,October,1,0,1
272,2015-16,2.8,0,more_selective,communications,none,none,business,none,none,other,298,294,248,373,0.220592595,57,57,October,0,0,1
292,2015-16,3.6,0,selective,sociology,none,criminal justice,social sciences,none,social sciences,other,247,280,206,288,-0.219112564,28,28,October,3,0,1
298,2015-16,3.65,0,selective,political science,none,communications,social sciences,none,business,other,292,293,295,430,0.471911609,6,6,October,1,0,1
312,2015-16,3.51,0,more_selective,other,none,none,other,none,none,school 938,240,269,277,337,0.295529079,24,24,September,0,0,1
321,2015-16,3.21,0,selective,spanish,none,other,humanities,none,other,other,148,80,53,138,0.553297033,10,10,September,10,0,1
326,2015-16,3.49,0,more_selective,education (secondary),none,none,education,none,none,school 1096,289,294,298,402,0.115112062,30,30,October,9,0,1
335,2015-16,3.82,0,more_selective,international studies/relations,none,none,social sciences,none,none,other,102,74,84,143,-0.003103948,57,57,October,14,0,1
348,2015-16,3.15,1,selective,biology,none,none,stem,none,none,other,283,261,250,367,0.410810937,26,26,October,1,0,1
369,2015-16,3.54,1,most_selective,chemistry,none,none,stem,none,none,other,291,283,294,430,0.464592323,35,35,October,5,0,1
373,2015-16,3.4,0,most_selective,other,political science,none,other,social sciences,none,other,294,296,294,412,-0.082765198,17,17,August,16,0,1
374,2015-16,3.18,0,more_selective,other,none,other,other,none,other,other,283,252,281,348,0.274403847,67,21,August,15,0,1
377,2015-16,3.3,0,selective,other,none,none,other,none,none,other,239,193,238,332,0.593041505,11,11,October,0,0,1
385,2015-16,4,1,less_selective,biology,none,none,stem,none,none,other,278,290,90,329,0.103399135,31,31,October,18,0,1
389,2015-16,3.16,0,selective,english,none,none,humanities,none,none,other,272,297,270,365,-0.115171221,36,36,October,0,0,1
395,2015-16,3.38,0,more_selective,economics,spanish,none,social sciences,humanities,none,other,258,174,277,294,0.263066482,3,3,September,2,0,1
396,2015-16,3.71,0,most_selective,history,none,spanish,humanities,none,humanities,other,202,201,234,323,0.108193611,129,21,August,0,0,1
406,2015-16,3.21,0,more_selective,other,none,other,other,none,other,other,298,249,291,352,0.107563282,63,0,August,0,0,1
417,2015-16,4,0,selective,political science,none,philosophy,social sciences,none,humanities,school 851,285,276,231,363,0.334923397,3,3,October,0,0,1
418,2015-16,3.4,0,most_selective,business,none,none,business,none,none,school 670,293,244,295,388,0.528375366,24,24,September,0,0,1
420,2015-16,3.69,0,most_selective,other,none,none,other,none,none,school 670,213,271,174,335,0.189077307,21,21,October,1,0,1
421,2015-16,3.2,0,more_selective,international studies/relations,none,history,social sciences,none,humanities,other,204,217,128,256,0.539936173,3,3,October,0,0,1
429,2015-16,3.78,0,unknown,other,none,political science,other,none,social sciences,other,171,298,256,339,0.24174276,106,27,September,0,0,1
430,2015-16,3.43,0,selective,other,none,education (general),other,none,education,other,300,295,117,391,-0.763387929,129,17,August,1,0,1
