batterID_2023,player,team,team_rank,team_wins,team_win_pct,league,division,team_division_standing,salary,position,age,G,AB,R,H,doubles,triples,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
1,Marcus Semien,TEX,7,90,0.556,AL,AL_West,2,26000000,2B,33,162,670,122,185,40,4,29,100,14,3,72,110,0.276,0.348,0.478,0.826
2,Julio Rodriguez,SEA,10,88,0.543,AL,AL_West,3,6210714,OF,23,155,654,102,180,37,2,32,103,37,10,47,175,0.275,0.333,0.485,0.818
3,Ronald Acuna,ATL,1,104,0.642,NL,NL_East,1,,OF,26,159,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012
4,Bobby Witt,KC,29,56,0.346,AL,AL_Central,5,,SS,23,158,641,97,177,28,11,30,96,49,15,40,121,0.276,0.319,0.495,0.814
5,Trea Turner,PHI,8,90,0.556,NL,NL_East,2,27272727,SS,30,155,639,102,170,35,5,26,76,30,0,45,150,0.266,0.32,0.459,0.779
6,Steven Kwan,CLE,21,76,0.469,AL,AL_Central,3,727300,OF,26,158,638,93,171,36,7,5,54,21,3,70,75,0.268,0.34,0.37,0.71
7,Freddie Freeman,LAD,3,100,0.617,NL,NL_West,1,25291366,1B,34,161,637,131,211,59,2,29,102,23,1,72,121,0.331,0.41,0.567,0.977
8,Austin Riley,ATL,1,104,0.642,NL,NL_East,1,15000000,3B,26,159,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861
9,Lane Thomas,WAS,26,71,0.438,NL,NL_East,5,2200000,OF,28,157,628,101,168,36,3,28,86,20,5,36,176,0.268,0.315,0.468,0.783
10,Nick Castellanos,PHI,8,90,0.556,NL,NL_East,2,20000000,OF,31,157,626,79,170,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.787
11,Teoscar Hernandez,SEA,10,88,0.543,AL,AL_West,3,14000000,OF,31,160,625,70,161,29,2,26,93,7,2,38,211,0.258,0.305,0.435,0.74
12,Nathaniel Lowe,TEX,7,90,0.556,AL,AL_West,2,4050000,1B,28,161,623,89,163,38,3,17,82,1,0,93,165,0.262,0.36,0.414,0.774
13,Alex Bregman,HOU,6,90,0.556,AL,AL_West,1,30500000,3B,29,161,622,103,163,28,4,25,98,3,1,92,87,0.262,0.363,0.441,0.804
14,Nico Hoerner,CHC,14,83,0.512,NL,NL_Central,2,2525000,SS,26,150,619,98,175,27,4,9,68,43,7,49,83,0.283,0.346,0.383,0.729
15,George Springer,TOR,9,89,0.549,AL,AL_East,3,24166666,OF,34,154,613,87,158,25,1,21,72,20,5,60,125,0.258,0.327,0.405,0.732
16,Jose Ramirez,CLE,21,76,0.469,AL,AL_Central,3,,3B,31,156,611,87,172,36,5,24,80,28,6,73,73,0.282,0.356,0.475,0.831
17,Joey Meneses,WAS,26,71,0.438,NL,NL_East,5,723300,DH,31,154,611,71,168,36,1,13,89,0,0,38,130,0.275,0.321,0.401,0.722
18,Matt Olson,ATL,1,104,0.642,NL,NL_East,1,21000000,1B,29,162,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993
19,Spencer Torkelson,DET,19,78,0.481,AL,AL_Central,2,723100,1B,24,159,606,88,141,34,1,31,94,3,0,67,171,0.233,0.313,0.446,0.759
20,Francisco Lindor,NYM,23,75,0.463,NL,NL_East,4,32477821,SS,30,160,602,108,153,33,2,31,98,31,4,66,137,0.254,0.336,0.47,0.806
21,Vladimir Guerrero,TOR,9,89,0.549,AL,AL_East,3,,1B,24,156,602,78,159,30,0,26,94,5,3,67,100,0.264,0.345,0.444,0.789
