batterID_2024,name,team,team_rank,team_wins,team_win_pct,league,division,team_division_standing,salary,age,position,G,AB,R,H,doubles,triples,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1,AaronJudge,NYY,3,94,0.58,AL,AL_East,1,40000000,32,CF,158,559,122,180,36,1,58,144,133,171,10,0,0.322,0.458,0.701,1.159
2,ShoheiOhtani,LAD,1,98,0.605,NL,NL_West,1,28216944,29,DH,159,636,134,197,38,7,54,130,81,162,59,4,0.31,0.39,0.646,1.036
3,AnthonySantander,BAL,7,91,0.562,AL,AL_East,2,11700000,29,RF,155,595,91,140,25,2,44,102,58,129,2,0,0.235,0.308,0.506,0.814
4,JuanSoto,NYY,3,94,0.58,AL,AL_East,1,31000000,25,RF,157,576,128,166,31,4,41,109,129,119,7,4,0.288,0.419,0.569,0.988
5,MarcellOzuna,ATL,8,89,0.549,NL,NL_East,2,16000000,33,DH,162,606,96,183,31,0,39,104,74,170,1,0,0.302,0.378,0.546,0.924
6,JoséRamírez,CLE,6,92,0.571,AL,AL_Central,1,17000000,31,3B,158,620,114,173,39,2,39,118,54,82,41,7,0.279,0.335,0.537,0.872
7,BrentRooker,OAK,26,69,0.426,AL,AL_West,4,750000,29,DH,145,546,82,160,26,2,39,112,59,177,11,3,0.293,0.365,0.562,0.927
8,KyleSchwarber,PHI,2,95,0.586,NL,NL_East,1,20000000,31,DH,150,573,110,142,22,0,38,104,106,197,5,3,0.248,0.366,0.485,0.851
9,GunnarHenderson,BAL,7,91,0.562,AL,AL_East,2,756200,23,SS,159,630,118,177,31,7,37,92,78,159,21,4,0.281,0.364,0.529,0.893
10,KetelMarte,ARI,9,89,0.549,NL,NL_West,3,13600000,30,2B,136,504,93,147,23,2,36,95,65,106,7,1,0.292,0.372,0.56,0.932
11,YordanAlvarez,HOU,11,88,0.547,AL,AL_West,1,10833333,27,DH,147,552,88,170,34,2,35,86,69,95,6,0,0.308,0.392,0.567,0.959
12,PeteAlonso,NYM,10,89,0.549,NL,NL_East,3,20500000,29,1B,162,608,91,146,31,0,34,88,70,172,3,0,0.24,0.329,0.459,0.788
13,CalRaleigh,SEA,14,85,0.525,AL,AL_West,2,795000,27,C,153,546,73,120,16,0,34,100,70,176,6,1,0.22,0.312,0.436,0.748
14,TeoscarHernández,LAD,1,98,0.605,NL,NL_West,1,,31,LF,154,589,84,160,32,2,33,99,53,188,12,3,0.272,0.339,0.501,0.84
15,FranciscoLindor,NYM,10,89,0.549,NL,NL_East,3,32477821,30,SS,152,618,107,169,39,1,33,91,56,127,29,4,0.273,0.344,0.5,0.844
16,WillyAdames,MIL,4,93,0.574,AL,NL_Central,1,12250000,28,SS,161,610,93,153,33,0,32,112,74,173,21,4,0.251,0.331,0.462,0.793
17,BobbyWitt,KC,12,86,0.531,AL,AL_Central,2,3111111,24,SS,161,636,125,211,45,11,32,109,57,106,31,12,0.332,0.389,0.588,0.977
18,JoshNaylor,CLE,6,92,0.571,AL,AL_Central,1,6500000,27,1B,152,563,84,137,27,0,31,108,58,105,6,2,0.243,0.32,0.456,0.776
19,TylerO'Neill,BOS,18,81,0.5,AL,AL_East,3,5850000,29,LF,113,411,74,99,18,0,31,61,53,159,4,0,0.241,0.336,0.511,0.847
20,VladimirGuerrero,TOR,24,74,0.457,AL,AL_East,5,19900000,25,1B,159,616,98,199,44,1,30,103,72,96,2,2,0.323,0.396,0.544,0.94
21,BryceHarper,PHI,2,95,0.586,NL,NL_East,1,27538462,31,1B,145,550,85,157,42,0,30,87,76,138,7,4,0.285,0.373,0.525,0.898
22,CoreySeager,TEX,21,78,0.481,AL,AL_West,3,35000000,30,SS,123,475,68,132,21,0,30,74,53,96,1,1,0.278,0.353,0.512,0.865
23,EugenioSuárez,ARI,9,89,0.549,NL,NL_West,3,,32,3B,158,571,90,146,28,2,30,101,49,176,2,1,0.256,0.319,0.469,0.788
24,JakeBurger,MIA,28,62,0.383,NL,NL_East,5,760000,28,1B,137,535,68,134,23,1,29,76,31,150,1,1,0.25,0.301,0.46,0.761
25,SheaLangeliers,OAK,26,69,0.426,AL,AL_West,4,745000,26,C,137,482,58,108,18,2,29,80,41,145,4,2,0.224,0.288,0.45,0.738
26,MannyMachado,SD,5,93,0.574,NL,NL_West,2,17090909,31,3B,152,593,77,163,30,0,29,105,45,124,11,2,0.275,0.325,0.472,0.797
27,MattOlson,ATL,8,89,0.549,NL,NL_East,2,22000000,30,1B,162,600,78,148,37,1,29,98,71,170,0,0,0.247,0.333,0.457,0.79
28,RafaelDevers,BOS,18,81,0.5,AL,AL_East,3,29318181,27,3B,138,525,87,143,34,5,28,83,67,147,3,0,0.272,0.354,0.516,0.87
29,MattChapman,SF,20,80,0.494,NL,NL_West,4,16666666,31,3B,154,575,98,142,39,2,27,78,64,158,15,2,0.247,0.328,0.463,0.791
30,SalvadorPerez,KC,12,86,0.531,AL,AL_Central,2,20000000,34,C,158,590,58,160,28,0,27,104,44,129,0,0,0.271,0.33,0.456,0.786
31,GiancarloStanton,NYY,3,94,0.58,AL,AL_East,1,32000000,34,DH,114,417,49,97,20,0,27,72,38,143,0,0,0.233,0.298,0.475,0.773
32,MarkVientos,NYM,10,89,0.549,NL,NL_East,3,740000,24,3B,111,413,58,110,22,0,27,71,33,135,0,0,0.266,0.322,0.516,0.838
33,AlexBregman,HOU,11,88,0.547,AL,AL_West,1,30500000,30,3B,145,581,79,151,30,2,26,75,44,86,3,1,0.26,0.315,0.453,0.768
34,RhysHoskins,MIL,4,93,0.574,AL,NL_Central,1,12000000,31,1B,131,449,59,96,14,0,26,82,53,149,3,0,0.214,0.303,0.419,0.722
35,EzequielTovar,COL,29,61,0.377,NL,NL_West,5,1714285,22,SS,157,655,83,176,45,4,26,78,23,200,6,5,0.269,0.295,0.469,0.764
36,ChristianWalker,ARI,9,89,0.549,NL,NL_West,3,10900000,33,1B,130,479,72,120,26,0,26,84,55,133,2,2,0.251,0.335,0.468,0.803
37,EllyDe La Cruz,CIN,22,77,0.475,NL,NL_Central,4,742500,22,SS,160,618,105,160,36,10,25,76,69,218,67,16,0.259,0.339,0.471,0.81
38,AdolisGarcía,TEX,21,78,0.481,AL,AL_West,3,4750000,31,RF,154,580,68,130,27,0,25,85,45,177,11,5,0.224,0.284,0.4,0.684
39,IanHapp,CHC,16,83,0.512,NL,NL_Central,2,21000000,29,LF,153,569,89,138,34,2,25,86,80,168,13,2,0.243,0.341,0.441,0.782
40,MichaelToglia,COL,29,61,0.377,NL,NL_West,5,742000,25,1B,116,399,62,87,14,3,25,55,54,147,10,1,0.218,0.311,0.456,0.767
41,TaylorWard,LAA,27,63,0.389,AL,AL_West,5,4800000,30,LF,156,585,73,144,26,2,25,75,63,163,6,4,0.246,0.323,0.426,0.749
42,JazzChisholm,NYY,3,94,0.58,AL,AL_East,1,2625000,26,3B,147,562,74,144,21,4,24,73,53,152,40,10,0.256,0.324,0.436,0.76
43,ColtonCowser,BAL,7,91,0.562,AL,AL_East,2,742800,24,LF,153,499,77,121,24,3,24,69,52,172,9,4,0.242,0.321,0.447,0.768
44,PaulDeJong,KC,12,86,0.531,AL,AL_Central,2,1900000,30,3B,139,445,54,101,17,0,24,56,23,156,2,2,0.227,0.276,0.427,0.703
45,RileyGreene,DET,13,86,0.531,AL,AL_Central,3,766300,23,LF,137,512,82,134,27,6,24,74,64,156,4,2,0.262,0.348,0.479,0.827
46,JacksonMerrill,SD,5,93,0.574,NL,NL_West,2,740000,21,CF,156,554,77,162,31,6,24,90,29,101,16,3,0.292,0.326,0.5,0.826
47,JuricksonProfar,SD,5,93,0.574,NL,NL_West,2,2500000,31,LF,158,564,94,158,29,0,24,85,76,101,10,3,0.28,0.38,0.459,0.839
48,BryanReynolds,PIT,23,76,0.469,NL,NL_Central,5,10250000,29,LF,156,622,73,171,29,3,24,88,57,156,10,2,0.275,0.344,0.447,0.791
49,NickCastellanos,PHI,2,95,0.586,NL,NL_East,1,20000000,32,RF,162,606,80,154,30,4,23,86,41,139,6,2,0.254,0.311,0.431,0.742
50,WilliamContreras,MIL,4,93,0.574,AL,NL_Central,1,766900,26,C,155,595,99,167,37,2,23,92,78,139,9,2,0.281,0.365,0.466,0.763
51,BrentonDoyle,COL,29,61,0.377,NL,NL_West,5,742000,26,CF,149,542,82,141,24,4,23,72,46,153,30,5,0.26,0.317,0.446,0.761
52,ZachNeto,LAA,27,63,0.389,AL,AL_West,5,750000,23,SS,155,542,70,135,34,1,23,77,39,140,30,10,0.249,0.318,0.443,0.726
53,BrandonNimmo,NYM,10,89,0.549,NL,NL_East,3,20500000,31,LF,151,571,88,128,25,3,23,90,77,158,15,0,0.224,0.327,0.399,0.908
54,JocPederson,ARI,9,89,0.549,NL,NL_West,3,9500000,32,DH,132,367,62,101,17,1,23,64,55,105,7,4,0.275,0.393,0.515,0.748
55,CarlosSantana,MIN,17,82,0.506,AL,AL_Central,2,5500000,38,1B,150,521,63,124,26,0,23,71,65,99,4,0,0.238,0.328,0.42,0.699
56,MarcusSemien,TEX,21,78,0.481,AL,AL_West,3,26000000,33,2B,159,650,101,154,27,2,23,74,64,105,8,3,0.237,0.308,0.391,0.993
57,KyleTucker,HOU,11,88,0.547,AL,AL_West,1,12000000,27,RF,78,277,56,80,13,0,23,49,56,54,11,0,0.289,0.408,0.585,0.807
58,LawrenceButler,OAK,26,69,0.426,AL,AL_West,4,740000,23,RF,125,412,63,108,24,2,22,57,35,108,18,0,0.262,0.317,0.49,0.75
59,CorbinCarroll,ARI,9,89,0.549,NL,NL_West,3,3625000,23,CF,158,589,121,136,22,14,22,74,73,130,35,8,0.231,0.322,0.428,0.854
60,FreddieFreeman,LAD,1,98,0.605,NL,NL_West,1,25145183,34,1B,147,542,81,153,35,2,22,89,78,100,9,2,0.282,0.378,0.476,0.716
61,PaulGoldschmidt,STL,15,83,0.512,NL,NL_Central,3,26000000,36,1B,154,599,70,147,33,1,22,65,47,173,11,0,0.245,0.302,0.414,0.783
62,LukeRaley,SEA,14,85,0.525,AL,AL_West,2,754200,29,LF,137,404,58,98,19,2,22,58,27,135,11,2,0.243,0.32,0.463,0.791
63,HeliotRamos,SF,20,80,0.494,NL,NL_West,4,740000,24,CF,121,475,54,128,23,3,22,72,37,135,6,1,0.269,0.322,0.469,0.734
64,AlecBurleson,STL,15,83,0.512,NL,NL_Central,3,750050,25,DH,152,547,71,147,20,0,21,78,35,76,9,4,0.269,0.314,0.42,0.775
65,MichaelBusch,CHC,16,83,0.512,NL,NL_Central,2,741500,26,1B,152,496,73,123,28,2,21,65,63,162,2,1,0.248,0.335,0.44,0.791
66,JacksonChourio,MIL,4,93,0.574,AL,NL_Central,1,2250000,20,LF,148,528,80,145,29,4,21,79,39,121,22,7,0.275,0.327,0.464,0.773
67,OneilCruz,PIT,23,76,0.469,NL,NL_Central,5,755000,25,SS,146,541,72,140,34,3,21,76,51,181,22,1,0.259,0.324,0.449,0.655
68,BryanDe La Cruz,PIT,23,76,0.469,NL,NL_Central,5,768000,27,RF,149,584,61,136,25,0,21,68,29,170,5,2,0.233,0.271,0.384,0.834
69,JarrenDuran,BOS,18,81,0.5,AL,AL_East,3,760000,27,CF,160,671,111,191,48,14,21,75,54,160,34,7,0.285,0.342,0.492,0.732
70,RyanJeffers,MIN,17,82,0.506,AL,AL_Central,2,2425000,27,C,122,412,56,93,22,0,21,64,32,94,3,0,0.226,0.3,0.432,0.784
71,BrandonLowe,TB,19,80,0.494,AL,AL_East,4,8750000,29,2B,107,385,56,94,19,3,21,58,33,112,5,1,0.244,0.311,0.473,0.634
72,ChristopherMorel,TB,19,80,0.494,AL,AL_East,4,767000,25,2B,152,535,56,105,11,3,21,60,61,159,8,7,0.196,0.288,0.346,0.78
73,JorgeSoler,ATL,8,89,0.549,NL,NL_East,2,10000000,32,RF,142,493,84,119,34,1,21,64,68,141,1,0,0.241,0.338,0.442,0.848
74,SeiyaSuzuki,CHC,16,83,0.512,NL,NL_Central,2,21000000,29,RF,132,512,74,145,27,6,21,73,63,160,16,6,0.283,0.366,0.482,0.807
75,FernandoTatis,SD,5,93,0.574,NL,NL_West,2,11714285,25,RF,102,398,64,110,21,1,21,49,32,96,11,3,0.276,0.34,0.492,0.747
76,TreaTurner,PHI,2,95,0.586,NL,NL_East,1,27272727,31,SS,121,505,88,149,25,0,21,62,27,98,19,4,0.295,0.338,0.469,0.682
77,CJAbrams,WAS,25,71,0.438,NL,NL_East,4,,23,SS,138,541,79,133,29,6,20,65,40,128,31,12,0.246,0.314,0.433,0.789
78,JoAdell,LAA,27,63,0.389,AL,AL_West,5,770000,25,RF,130,405,54,84,15,2,20,62,35,126,15,10,0.207,0.28,0.402,0.72
79,JoseAltuve,HOU,11,88,0.547,AL,AL_West,1,29000000,34,2B,153,628,94,185,31,0,20,65,47,119,22,7,0.295,0.35,0.439,0.685
80,RandyArozarena,SEA,14,85,0.525,AL,AL_West,2,8100000,29,LF,154,549,77,120,33,0,20,60,73,169,20,10,0.219,0.332,0.388,0.761
81,AndrewBenintendi,CWS,30,41,0.253,AL,AL_Central,5,17100000,29,LF,135,477,50,109,20,0,20,64,41,96,3,2,0.229,0.289,0.396,0.708
82,JJBleday,OAK,26,69,0.426,AL,AL_West,4,,26,CF,159,572,74,139,43,4,20,60,67,125,2,3,0.243,0.324,0.437,0.759
83,JeimerCandelario,CIN,22,77,0.475,NL,NL_Central,4,16000000,30,3B,112,427,47,96,23,2,20,56,27,114,4,3,0.225,0.279,0.429,0.739
84,MichaelConforto,SF,20,80,0.494,NL,NL_West,4,18000000,31,LF,130,438,56,104,27,3,20,66,42,118,0,1,0.237,0.309,0.45,0.722
85,AndrewMcCutchen,PIT,23,76,0.469,NL,NL_Central,5,5000000,37,DH,120,448,66,104,18,1,20,50,58,133,3,2,0.232,0.328,0.411,0.712
86,RyanMcMahon,COL,29,61,0.377,NL,NL_West,5,12000000,29,3B,153,567,68,137,28,0,20,65,69,185,4,6,0.242,0.325,0.397,0.734
87,LoganO'Hoppe,LAA,27,63,0.389,AL,AL_West,5,760000,24,C,136,479,64,117,17,1,20,56,33,155,2,3,0.244,0.303,0.409,0.76
88,JulioRodríguez,SEA,14,85,0.525,AL,AL_West,2,,23,CF,143,567,76,155,17,0,20,68,38,156,24,5,0.273,0.325,0.409,0.721
89,WillSmith,LAD,1,98,0.605,NL,NL_West,1,13477716,29,C,128,476,77,118,24,2,20,75,51,105,1,1,0.248,0.327,0.433,0.724
90,SpencerSteer,CIN,22,77,0.475,NL,NL_Central,4,750000,26,LF,158,574,74,129,34,4,20,92,72,137,25,3,0.225,0.319,0.402,0.863
91,JoshBell,ARI,9,89,0.549,NL,NL_West,3,16500000,31,1B,145,538,62,134,23,2,19,71,51,120,0,1,0.249,0.319,0.405,0.671
92,MookieBetts,LAD,1,98,0.605,NL,NL_West,1,26173581,31,SS,116,450,75,130,24,5,19,75,61,57,16,2,0.289,0.372,0.491,0.739
93,NolanGorman,STL,15,83,0.512,NL,NL_Central,3,,24,2B,107,365,42,74,15,0,19,50,34,151,6,1,0.203,0.271,0.4,0.761
94,IsaacParedes,CHC,16,83,0.512,NL,NL_Central,2,3400000,25,3B,153,542,64,129,25,1,19,80,76,105,1,1,0.238,0.346,0.393,0.783
95,VinniePasquantino,KC,12,86,0.531,AL,AL_Central,2,752750,26,1B,131,496,64,130,30,2,19,97,40,71,1,0,0.262,0.315,0.446,0.709
96,AustinRiley,ATL,8,89,0.549,NL,NL_East,2,21000000,27,3B,110,425,63,109,26,2,19,56,37,118,0,0,0.256,0.322,0.461,0.674
97,AdleyRutschman,BAL,7,91,0.562,AL,AL_East,2,760300,26,C,148,571,68,143,21,1,19,79,58,103,1,0,0.25,0.318,0.391,0.782
98,GeorgeSpringer,TOR,24,74,0.457,AL,AL_East,5,24166666,34,RF,145,545,74,120,19,3,19,56,60,115,16,1,0.22,0.303,0.371,0.751
99,TylerStephenson,CIN,22,77,0.475,NL,NL_Central,4,2525000,27,C,138,457,69,118,26,1,19,66,48,117,1,0,0.258,0.338,0.444,0.859
100,AndrewVaughn,CWS,30,41,0.253,AL,AL_Central,5,3250000,26,1B,149,570,55,140,30,1,19,70,38,132,2,0,0.246,0.297,0.402,0.932
101,CodyBellinger,CHC,16,83,0.512,NL,NL_Central,2,27500000,28,RF,130,516,72,137,23,3,18,78,45,89,9,2,0.266,0.325,0.426,0.762
102,ByronBuxton,MIN,17,82,0.506,AL,AL_Central,2,15142857,30,CF,102,355,62,99,27,3,18,56,20,99,7,2,0.279,0.335,0.524,0.757
103,KerryCarpenter,DET,13,86,0.531,AL,AL_Central,3,761000,26,RF,87,264,37,75,16,5,18,57,22,75,0,2,0.284,0.345,0.587,0.71
104,LuisGarcía,WAS,25,71,0.438,NL,NL_East,4,,24,2B,140,500,58,141,25,1,18,70,27,86,22,5,0.282,0.318,0.444,0.621
105,LourdesGurriel,ARI,9,89,0.549,NL,NL_West,3,10000000,30,LF,133,513,72,143,22,2,18,75,29,101,7,1,0.279,0.322,0.435,0.73
106,CedricMullins,BAL,7,91,0.562,AL,AL_East,2,6325000,29,CF,147,444,69,104,16,3,18,54,41,98,32,6,0.234,0.305,0.405,0.7
107,JoseSiri,TB,19,80,0.494,AL,AL_East,4,757800,28,CF,130,402,50,75,16,1,18,47,31,170,14,7,0.187,0.255,0.366,0.793
108,JesúsSánchez,MIA,28,62,0.383,NL,NL_East,5,2100000,26,RF,149,489,60,123,25,1,18,64,41,140,16,2,0.252,0.313,0.417,0.739
109,DaultonVarsho,TOR,24,74,0.457,AL,AL_East,5,5650000,27,CF,136,459,73,98,21,7,18,58,48,137,10,2,0.214,0.293,0.407,0.625
110,JordanWestburg,BAL,7,91,0.562,AL,AL_East,2,745800,25,3B,107,416,57,110,26,5,18,63,22,97,6,3,0.264,0.312,0.481,0.714
111,MikeYastrzemski,SF,20,80,0.494,NL,NL_West,4,7900000,33,RF,140,428,60,99,16,9,18,57,38,124,3,2,0.231,0.302,0.437,0.632
112,OrlandoArcia,ATL,8,89,0.549,NL,NL_East,2,2000000,29,SS,157,551,50,120,24,0,17,46,41,128,2,0,0.218,0.271,0.354,0.739
113,JakeCronenworth,SD,5,93,0.574,NL,NL_West,2,7285714,30,1B,155,577,72,139,29,3,17,83,61,118,5,2,0.241,0.324,0.39,0.673
