StyleID,EventID,StartingInventory,QuantitySold,Cost,Price,MSRP,Department,Month,EventStartTime,EventStartDOW,ShippingMethod
23454,284,115,77,7,9.99,39,Footwear,Oct,10:00,Monday,F
25783,304,126,91,7,9.99,29,Footwear,Oct,10:00,Thursday,F
2990,314,92,78,7,9.99,39,Footwear,Oct,10:00,Thursday,F
21412,289,115,115,7,9.99,27,Footwear,Oct,10:00,Wednesday,F
8211,284,133,133,7,9.99,41,Footwear,Oct,10:00,Monday,F
20815,219,84,84,7,9.99,29,Footwear,Oct,10:00,Wednesday,F
6524,314,24,24,7,9.99,39,Footwear,Oct,10:00,Thursday,F
12543,219,8,8,7,9.99,31,Footwear,Oct,10:00,Wednesday,F
1341,239,45,45,7,9.99,39,Footwear,Oct,10:00,Friday,F
26644,259,75,75,7,9.99,46,Footwear,Oct,10:00,Tuesday,F
17358,314,26,26,7,9.99,31,Footwear,Oct,10:00,Thursday,F
2176,314,21,21,7,9.99,29,Footwear,Oct,10:00,Thursday,F
12553,294,60,60,7,9.99,25,Footwear,Oct,10:00,Monday,F
13844,244,134,104,7,9.99,26,Footwear,Nov,17:00,Monday,F
24458,244,116,97,7,9.99,27,Footwear,Nov,17:00,Monday,F
9768,244,8,8,7,9.99,29,Footwear,Nov,17:00,Monday,F
6142,234,16,16,7,9.99,46,Footwear,Nov,17:00,Tuesday,F
30355,274,27,27,7,9.99,47,Footwear,Nov,17:00,Thursday,F
17744,229,12,12,7,9.99,29,Footwear,Nov,17:00,Monday,F
29307,299,16,16,7,9.99,47,Footwear,Nov,17:00,Monday,F
655,234,18,18,7,9.99,39,Footwear,Nov,17:00,Tuesday,F
7700,239,127,110,6,9.99,33,Footwear,Oct,10:00,Friday,F
25902,294,38,38,6,9.99,25,Footwear,Oct,10:00,Monday,F
12786,279,25,25,6,9.99,44,Footwear,Oct,10:00,Wednesday,F
6931,294,7,7,6,9.99,32,Footwear,Oct,10:00,Monday,F
18466,309,18,18,6,9.99,47,Footwear,Oct,10:00,Friday,F
7752,259,14,14,6,9.99,37,Footwear,Oct,10:00,Tuesday,F
7159,279,17,17,6,9.99,38,Footwear,Oct,10:00,Wednesday,F
18308,209,91,91,6,9.99,38,Footwear,Oct,10:00,Wednesday,F
3358,279,20,20,6,9.99,29,Footwear,Oct,10:00,Wednesday,F
15794,214,23,23,6,9.99,38,Footwear,Oct,10:00,Monday,F
26852,249,3,3,6,9.99,27,Footwear,Oct,10:00,Thursday,F
17635,309,19,19,6,9.99,25,Footwear,Oct,10:00,Friday,F
15059,304,31,31,6,9.99,28,Footwear,Oct,10:00,Thursday,F
16313,219,66,66,6,9.99,40,Footwear,Oct,10:00,Wednesday,F
29288,254,79,79,6,9.99,49,Footwear,Oct,10:00,Saturday,F
19155,229,128,69,6,9.99,29,Footwear,Nov,17:00,Monday,F
29812,269,110,104,6,9.99,27,Footwear,Nov,17:00,Thursday,F
21648,244,81,81,6,9.99,33,Footwear,Nov,17:00,Monday,F
9587,274,18,18,6,9.99,30,Footwear,Nov,17:00,Thursday,F
11624,274,26,26,6,9.99,25,Footwear,Nov,17:00,Thursday,F
17937,229,16,16,6,9.99,43,Footwear,Nov,17:00,Monday,F
22992,274,48,48,6,9.99,39,Footwear,Nov,17:00,Thursday,F
172,214,119,76,5,9.99,48,Footwear,Oct,10:00,Monday,F
22377,314,108,72,5,9.99,29,Footwear,Oct,10:00,Thursday,F
5361,309,125,103,5,9.99,29,Footwear,Oct,10:00,Friday,F
13563,284,116,96,5,9.99,36,Footwear,Oct,10:00,Monday,F
10445,259,124,112,5,9.99,38,Footwear,Oct,10:00,Tuesday,F
2827,249,114,110,5,9.99,49,Footwear,Oct,10:00,Thursday,F
4196,289,115,115,5,9.99,27,Footwear,Oct,10:00,Wednesday,F
19116,294,146,146,5,9.99,33,Footwear,Oct,10:00,Monday,F
16829,289,147,147,5,9.99,46,Footwear,Oct,10:00,Wednesday,F
21162,309,12,12,5,9.99,31,Footwear,Oct,10:00,Friday,F
22228,289,23,23,5,9.99,30,Footwear,Oct,10:00,Wednesday,F
9111,309,44,44,5,9.99,40,Footwear,Oct,10:00,Friday,F
6762,289,15,15,5,9.99,43,Footwear,Oct,10:00,Wednesday,F
5696,259,11,11,5,9.99,41,Footwear,Oct,10:00,Tuesday,F
22573,249,23,23,5,9.99,40,Footwear,Oct,10:00,Thursday,F
881,304,88,88,5,9.99,39,Footwear,Oct,10:00,Thursday,F
9607,214,15,15,5,9.99,29,Footwear,Oct,10:00,Monday,F
29697,289,17,17,5,9.99,26,Footwear,Oct,10:00,Wednesday,F
6764,314,62,62,5,9.99,38,Footwear,Oct,10:00,Thursday,F
23110,249,30,30,5,9.99,33,Footwear,Oct,10:00,Thursday,F
12179,314,82,82,5,9.99,30,Footwear,Oct,10:00,Thursday,F
