StyleID,EventID,IDNumber,StartingInventory,QuantitySold,Cost,Price,MSRP,Department,Month,EventStartTime,EventStartDOW,ShippingMethod
23454,284,1,115,77,7,9.99,39,Footwear,Oct,10:00,Monday,F
25783,304,2,126,91,7,9.99,29,Footwear,Oct,10:00,Thursday,F
2990,314,3,92,78,7,9.99,39,Footwear,Oct,10:00,Thursday,F
21412,289,4,115,115,7,9.99,27,Footwear,Oct,10:00,Wednesday,F
8211,284,5,133,133,7,9.99,41,Footwear,Oct,10:00,Monday,F
20815,219,6,84,84,7,9.99,29,Footwear,Oct,10:00,Wednesday,F
6524,314,7,24,24,7,9.99,39,Footwear,Oct,10:00,Thursday,F
12543,219,8,8,8,7,9.99,31,Footwear,Oct,10:00,Wednesday,F
1341,239,9,45,45,7,9.99,39,Footwear,Oct,10:00,Friday,F
26644,259,10,75,75,7,9.99,46,Footwear,Oct,10:00,Tuesday,F
17358,314,11,26,26,7,9.99,31,Footwear,Oct,10:00,Thursday,F
2176,314,12,21,21,7,9.99,29,Footwear,Oct,10:00,Thursday,F
12553,294,13,60,60,7,9.99,25,Footwear,Oct,10:00,Monday,F
13844,244,14,134,104,7,9.99,26,Footwear,Nov,17:00,Monday,F
24458,244,15,116,97,7,9.99,27,Footwear,Nov,17:00,Monday,F
9768,244,16,8,8,7,9.99,29,Footwear,Nov,17:00,Monday,F
6142,234,17,16,16,7,9.99,46,Footwear,Nov,17:00,Tuesday,F
30355,274,18,27,27,7,9.99,47,Footwear,Nov,17:00,Thursday,F
17744,229,19,12,12,7,9.99,29,Footwear,Nov,17:00,Monday,F
29307,299,20,16,16,7,9.99,47,Footwear,Nov,17:00,Monday,F
655,234,21,18,18,7,9.99,39,Footwear,Nov,17:00,Tuesday,F
7700,239,22,127,110,6,9.99,33,Footwear,Oct,10:00,Friday,F
25902,294,23,38,38,6,9.99,25,Footwear,Oct,10:00,Monday,F
12786,279,24,25,25,6,9.99,44,Footwear,Oct,10:00,Wednesday,F
6931,294,25,7,7,6,9.99,32,Footwear,Oct,10:00,Monday,F
18466,309,26,18,18,6,9.99,47,Footwear,Oct,10:00,Friday,F
7752,259,27,14,14,6,9.99,37,Footwear,Oct,10:00,Tuesday,F
7159,279,28,17,17,6,9.99,38,Footwear,Oct,10:00,Wednesday,F
18308,209,29,91,91,6,9.99,38,Footwear,Oct,10:00,Wednesday,F
3358,279,30,20,20,6,9.99,29,Footwear,Oct,10:00,Wednesday,F
15794,214,31,23,23,6,9.99,38,Footwear,Oct,10:00,Monday,F
26852,249,32,3,3,6,9.99,27,Footwear,Oct,10:00,Thursday,F
17635,309,33,19,19,6,9.99,25,Footwear,Oct,10:00,Friday,F
15059,304,34,31,31,6,9.99,28,Footwear,Oct,10:00,Thursday,F
16313,219,35,66,66,6,9.99,40,Footwear,Oct,10:00,Wednesday,F
29288,254,36,79,79,6,9.99,49,Footwear,Oct,10:00,Saturday,F
19155,229,37,128,69,6,9.99,29,Footwear,Nov,17:00,Monday,F
29812,269,38,110,104,6,9.99,27,Footwear,Nov,17:00,Thursday,F
21648,244,39,81,81,6,9.99,33,Footwear,Nov,17:00,Monday,F
9587,274,40,18,18,6,9.99,30,Footwear,Nov,17:00,Thursday,F
11624,274,41,26,26,6,9.99,25,Footwear,Nov,17:00,Thursday,F
17937,229,42,16,16,6,9.99,43,Footwear,Nov,17:00,Monday,F
22992,274,43,48,48,6,9.99,39,Footwear,Nov,17:00,Thursday,F
