housing_id,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat,medv
291,0.03502,80,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,3.33,28.5
292,0.07886,80,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,3.56,37.3
293,0.03615,80,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,4.7,27.9
294,0.08265,0,13.92,0,0.437,6.127,18.4,5.5027,4,289,16,8.58,23.9
295,0.08199,0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16,10.4,21.7
296,0.12932,0,13.92,0,0.437,6.678,31.1,5.9604,4,289,16,6.27,28.6
297,0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,7.39,27.1
298,0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,15.84,20.3
299,0.06466,70,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,4.97,22.5
300,0.05561,70,2.24,0,0.4,7.041,10,7.8278,5,358,14.8,4.74,29
301,0.04417,70,2.24,0,0.4,6.871,47.4,7.8278,5,358,14.8,6.07,24.8
302,0.03537,34,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5,22
303,0.09266,34,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,8.67,26.4
304,0.1,34,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,4.86,33.1
305,0.05515,33,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,6.93,36.1
306,0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4
307,0.07503,33,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,6.47,33.4
308,0.04932,33,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,7.53,28.2
309,0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,4.54,22.8
310,0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97,20.3
311,2.63548,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64,16.1
312,0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98,22.1
313,0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72,19.4
314,0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,7.9,21.6
315,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28,23.8
316,0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5,16.2
317,0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33,17.8
318,0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,15.94,19.8
319,0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,10.36,23.1
320,0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,12.73,21
321,0.1676,0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,7.2,23.8
322,0.18159,0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,6.87,23.1
323,0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,7.7,20.4
324,0.28392,0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,11.74,18.5
325,0.34109,0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25
326,0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,5.08,24.6
327,0.30347,0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,6.15,23
328,0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79,22.2
329,0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,9.97,19.3
