race_name,short_race_name,date,finish_place,driver_ID,driver,PitNumber,LapNumber,Time_of_Race
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,1,10,"Palou, Alex",1,16,00:28:09.2783
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,1,10,"Palou, Alex",2,35,01:02:17.3593
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,1,10,"Palou, Alex",3,49,01:27:41.4229
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,2,5,"O'Ward, Pato",1,17,00:29:44.5641
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,2,5,"O'Ward, Pato",2,32,00:56:48.7283
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,2,5,"O'Ward, Pato",3,50,01:29:17.2779
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,3,7,"Lundgaard, Christian",1,10,00:17:34.3359
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,3,7,"Lundgaard, Christian",2,29,00:51:32.1215
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,3,7,"Lundgaard, Christian",3,47,01:24:07.1553
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,4,26,"Herta, Colton",1,15,00:26:34.5206
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,4,26,"Herta, Colton",2,30,00:53:45.4617
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,4,26,"Herta, Colton",3,46,01:22:44.0948
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,5,60,"Rosenqvist, Felix",1,10,00:17:56.4041
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,5,60,"Rosenqvist, Felix",2,29,00:52:01.4559
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,5,60,"Rosenqvist, Felix",3,47,01:24:35.6219
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,6,12,"Power, Will",1,10,00:18:04.9377
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,6,12,"Power, Will",2,28,00:50:25.3887
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,6,12,"Power, Will",3,46,01:22:57.6347
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,7,66,"Armstrong, Marcus",1,12,00:21:20.9066
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,7,66,"Armstrong, Marcus",2,28,00:50:18.2923
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,7,66,"Armstrong, Marcus",3,46,01:22:56.9247
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,8,27,"Kirkwood, Kyle",1,13,00:23:02.8672
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,8,27,"Kirkwood, Kyle",2,29,00:51:57.7683
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,8,27,"Kirkwood, Kyle",3,47,01:24:28.0667
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,9,20,"Rossi, Alexander",1,18,00:31:55.0544
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,9,20,"Rossi, Alexander",2,33,00:59:08.7920
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,9,20,"Rossi, Alexander",3,47,01:24:39.3006
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,10,9,"Dixon, Scott",1,12,00:21:35.4213
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,10,9,"Dixon, Scott",2,26,00:47:02.2026
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,10,9,"Dixon, Scott",3,46,01:23:13.1737
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,11,15,"Rahal, Graham",1,14,00:25:09.0914
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,11,15,"Rahal, Graham",2,32,00:57:45.2661
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,11,15,"Rahal, Graham",3,49,01:28:21.6744
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,12,21,"Rasmussen, Christian",1,17,00:30:19.6775
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,12,21,"Rasmussen, Christian",2,34,01:01:16.1178
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,12,21,"Rasmussen, Christian",3,46,01:23:15.6988
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,13,2,"Newgarden, Josef",1,11,00:19:51.1167
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,13,2,"Newgarden, Josef",2,26,00:47:00.8458
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,13,2,"Newgarden, Josef",3,46,01:23:00.7492
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,14,14,"Ferrucci, Santino",1,14,00:24:57.2258
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,14,14,"Ferrucci, Santino",2,30,00:54:18.4985
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,14,14,"Ferrucci, Santino",3,49,01:28:37.7151
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,15,8,"Simpson, Kyffin",1,11,00:19:50.5921
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,15,8,"Simpson, Kyffin",2,25,00:45:15.0275
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,15,8,"Simpson, Kyffin",3,44,01:19:48.6004
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,16,76,"Daly, Conor",1,14,00:25:24.1475
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,16,76,"Daly, Conor",2,32,00:57:59.2409
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,16,76,"Daly, Conor",3,48,01:27:11.2319
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,17,18,"Veekay, Rinus",1,12,00:21:23.4299
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,17,18,"Veekay, Rinus",2,31,00:55:47.6702
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,17,18,"Veekay, Rinus",3,43,01:18:23.2413
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,18,4,"Malukas, David",1,15,00:26:41.2785
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,18,4,"Malukas, David",2,30,00:54:10.7566
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,18,4,"Malukas, David",3,48,01:27:12.0317
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,19,6,"Siegel, Nolan",1,10,00:18:02.1066
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,19,6,"Siegel, Nolan",2,27,00:48:47.4720
