Rank,Team,W,L,W-L_pct,league,division,division_standing,postseason,wildcard_round_in_bye,wildcard_series,division_round_in_out,division_series,championship_round_in_out,championship_series,world_series_round_in_out,world_series,postseason_wins,R,RA,Rdiff,SOS,SRS,win_vEast,loss_vEast,win_vCent,loss_vCent,win_vWest,loss_vWest,win_Inter,loss-inter,win_home,loss_home,win_road,loss_road,win_ExInn,loss_ExInn,win_1Run,loss_1Run,win_vRHP,loss_vRHP,win_vLHP,loss_vLHP,win_vover500,loss_vover500,win_vunder500,loss_vunder500
1,ATL,104,58,0.642,nl,nl_east,1,division_winner,0,0,1,1,0,0,0,0,2,5.8,4.4,1.4,-0.1,1.4,35,17,22,9,21,12,26,20,52,29,52,29,9,3,23,18,81,49,23,9,55,33,49,25
2,BAL,101,61,0.623,al,al_east,1,division_winner,0,0,1,0,0,0,0,0,1,5,4.2,0.8,0,0.8,32,20,22,10,21,11,26,20,49,32,52,29,11,6,30,16,65,44,36,17,51,39,50,22
3,LAD,100,62,0.617,nl,nl_west,1,division_winner,0,0,1,0,0,0,0,0,1,5.6,4.3,1.3,-0.1,1.2,17,14,19,14,34,18,30,16,53,28,47,34,6,6,16,15,74,39,26,23,52,36,48,26
4,TB,99,63,0.611,al,al_east,2,wildcard,1,0,0,0,0,0,0,0,0,5.3,4.1,1.2,0,1.2,31,21,23,9,18,14,27,19,53,28,46,35,7,5,22,25,75,52,24,11,48,44,51,19
5,MIL,92,70,0.568,nl,nl_central,1,division_winner,1,0,0,0,0,0,0,0,0,4.5,4,0.5,0,0.5,18,14,33,19,13,19,28,18,49,32,43,38,10,5,29,18,70,44,22,26,51,38,41,32
6,HOU,90,72,0.556,al,al_west,1,division_winner,0,0,1,3,1,3,0,0,8,5.1,4.3,0.8,-0.1,0.7,16,17,14,17,32,20,28,18,39,42,51,30,1,8,20,21,62,51,28,21,42,43,48,29
7,TEX,90,72,0.556,al,al_west,2,wildcard,1,2,1,3,1,4,1,4,16,5.4,4.4,1,-0.1,0.9,20,12,19,13,29,23,22,24,50,31,40,41,2,8,14,22,62,56,28,16,42,45,48,27
8,PHI,90,72,0.556,nl,nl_east,2,wildcard,1,2,1,3,1,3,0,0,10,4.9,4.4,0.5,0,0.5,25,27,19,12,18,15,28,18,49,32,41,40,11,7,29,24,60,51,30,21,47,43,43,29
9,TOR,89,73,0.549,al,al_east,3,wildcard,1,0,0,0,0,0,0,0,0,4.6,4.1,0.5,0.1,0.5,21,31,22,10,16,16,30,16,43,38,46,35,10,9,25,20,69,58,20,15,43,50,46,23
11,MIN,87,75,0.537,al,al_central,1,division_winner,1,2,1,1,0,0,0,0,4,4.8,4.1,0.7,-0.2,0.6,13,19,29,23,20,12,25,21,47,34,40,41,12,8,19,27,66,58,21,17,37,36,50,39
12,ARI,84,78,0.519,nl,nl_west,2,wildcard,1,2,1,3,1,4,1,1,13,4.6,4.7,-0.1,0,-0.1,14,18,20,12,29,23,21,25,43,38,41,40,5,4,21,21,56,57,28,21,40,50,44,28
13,MIA,84,78,0.519,nl,nl_east,3,wildcard,1,0,0,0,0,0,0,0,0,4.1,4.5,-0.4,0.1,-0.3,26,26,18,15,14,17,26,20,46,35,38,43,7,3,33,14,64,59,20,19,38,50,46,28
