team_rank,team,W,L,win_pct,league,division,division_standing,postseason,wildcard_series,division_series,championship_series,world_series,postseason_wins,postseason_in_out,mean_runs,mean_runs_agst,mean_runs_diff,SOS,SRS,win_vEast,loss_vEast,win_vCent,loss_vCent,win_vWest,loss_vWest,win_inter,loss_inter,win_home,loss_home,win_road,loss_road,win_ExInn,loss_ExInn,win_1Run,loss_1Run,win_vRHP,loss_vRHP,win_vLHP,loss_vLHP,win_vover500,loss_vover500,win_vunder500,loss_vunder500,avg_age,salary_rank,total_payroll,active_26man_payroll,injured_payroll,retained_payroll,buried_payroll
1,ATL,104,58,0.642,NL,NL_East,1,division_winner,,1,,,1,1,5.8,4.4,1.4,-0.1,1.4,35,17,22,9,21,12,26,20,52,29,52,29,9,3,23,18,81,49,23,9,55,33,49,25,28.5,6,204689131,158186507,34160535,11235473,894201
2,BAL,101,61,0.623,AL,AL_East,1,division_winner,,0,,,0,1,5,4.2,0.8,0,0.8,32,20,22,10,21,11,26,20,49,32,52,29,11,6,30,16,65,44,36,17,51,39,50,22,28,24,68706439,53159734,3179476,8713118,2505496
3,LAD,100,62,0.617,NL,NL_West,1,division_winner,,0,,,0,1,5.6,4.3,1.3,-0.1,1.2,17,14,19,14,34,18,30,16,53,28,47,34,6,6,16,15,74,39,26,23,52,36,48,26,30,8,235743243,144170915,33764202,33781537,1290369
4,TB,99,63,0.611,AL,AL_East,2,wildcard,0,,,,0,1,5.3,4.1,1.2,0,1.2,31,21,23,9,18,14,27,19,53,28,46,35,7,5,22,25,75,52,24,11,48,44,51,19,27.5,25,74948362,52744710,15788201,1654396,1004572
5,MIL,92,70,0.568,NL,NL_Central,1,division_winner,0,,,,0,1,4.5,4,0.5,0,0.5,18,14,33,19,13,19,28,18,49,32,43,38,10,5,29,18,70,44,22,26,51,38,41,32,28.9,13,119399140,88590836,11924851,9352239,3260808
6,HOU,90,72,0.556,AL,AL_West,1,division_winner,,3,3,,6,1,5.1,4.3,0.8,-0.1,0.7,16,17,14,17,32,20,28,18,39,42,51,30,1,8,20,21,62,51,28,21,42,43,48,29,29.6,2,237107748,211270410,16713200,2830000,2694138
7,TEX,90,72,0.556,AL,AL_West,2,wildcard,2,3,4,4,13,1,5.4,4.4,1,-0.1,0.9,20,12,19,13,29,23,22,24,50,31,40,41,2,8,14,22,62,56,28,16,42,45,48,27,29.2,7,251332754,148828188,96208979,4252848,1301706
8,PHI,90,72,0.556,NL,NL_East,2,wildcard,2,3,3,,8,1,4.9,4.4,0.5,0,0.5,25,27,19,12,18,15,28,18,49,32,41,40,11,7,29,24,60,51,30,21,47,43,43,29,28.4,1,237160961,218601219,12530327,3345770,2683645
9,TOR,89,73,0.549,AL,AL_East,3,wildcard,0,,,,0,1,4.6,4.1,0.5,0.1,0.5,21,31,22,10,16,16,30,16,43,38,46,35,10,9,25,20,69,58,20,15,43,50,46,23,29.6,3,214916600,194486569,6851292,3188175,3802638
10,SEA,88,74,0.543,AL,AL_West,3,no,,,,,,0,4.7,4.1,0.6,-0.1,0.6,13,18,20,13,33,19,22,24,45,36,43,38,6,14,25,26,66,55,22,19,38,48,50,26,27.1,19,125040117,72170162,27157168,4802177,1141540
