team_rank,team,team_rank,W,L,win_pct,league,division,division_standing,postseason,postseason_in_out,wildcard_series,division_series,championship_series,world_series,postseason_wins,mean_runs,mean_runs_agst,mean_runs_diff,SOS,SRS,win_vEast,loss_vEast,win_vCent,loss_vCent,win_vWest,loss_vWest,win_inter,loss_inter,win_home,loss_home,win_road,loss_road,win_ExInn,loss_ExInn,win_1Run,loss_1Run,win_vRHP,loss_vRHP,win_vLHP,loss_vLHP,win_vover500,loss_vover500,win_vunder500,loss_vunder500,avg_age,salary_rank,total_payroll,active_26man_payroll,injured_payroll,retained_payroll,buried_payroll
1,LAD,1,98,64,0.605,NL,NL_West,1,division_winner,1,,3,4,4,11,5.2,4.2,1,0,1,19,12,18,15,31,21,30,16,52,29,46,35,9,7,21,17,62,47,36,17,51,41,47,23,30.4,3,265870208,198627830,37949016,8698968,1846901
2,PHI,2,95,67,0.586,NL,NL_East,1,division_winner,1,,1,,,1,4.8,4.1,0.7,0,0.7,29,23,18,14,22,10,26,20,54,27,41,40,8,8,23,20,61,43,34,24,49,41,46,26,29,2,247291271,226203004,3031516,9697997,1699868
3,NYY,3,94,68,0.58,AL,AL_East,1,division_winner,1,,3,4,1,8,5,4.1,0.9,-0.1,0.8,26,26,24,7,21,12,23,23,44,37,50,31,8,8,19,18,73,45,21,23,55,38,39,30,29.1,1,314741274,260398591,25630756,12213158,3565533
4,MIL,4,93,69,0.574,AL,NL_Central,1,division_winner,1,1,,,,1,4.8,4,0.8,0,0.8,15,15,32,20,15,19,31,15,47,34,46,35,6,9,28,25,69,45,24,24,52,41,41,28,27.9,20,123393744,71398748,36603673,9530154,2239544
5,SD,5,93,69,0.574,NL,NL_West,2,wildcard,1,2,2,,,4,4.7,4.1,0.6,0,0.6,17,15,22,10,27,25,27,19,45,36,48,33,10,2,22,19,66,50,27,19,50,44,43,25,30,9,172855090,142394254,9034386,2859720,2437482
6,CLE,6,92,69,0.571,AL,AL_Central,1,division_winner,1,,3,1,,4,4.4,3.9,0.5,-0.1,0.4,18,15,30,22,20,10,24,22,50,30,42,39,10,3,26,19,63,58,29,11,50,47,42,22,26.3,25,94724582,50885032,21120833,158060,10272880
7,BAL,7,91,71,0.562,AL,AL_East,2,wildcard,1,0,,,,0,4.9,4.3,0.5,-0.1,0.5,32,20,21,11,18,14,20,26,44,37,47,34,5,6,14,18,68,51,23,20,47,44,44,27,28.4,21,109835494,65994548,10808540,14162372,882324
8,ATL,8,89,73,0.549,NL,NL_East,2,wildcard,1,0,,,,0,4.3,3.7,0.6,0,0.6,28,24,13,17,17,17,31,15,46,35,43,38,12,5,18,25,60,56,29,17,52,41,37,32,30.9,7,238433901,156338167,47028814,5591460,8417765
9,ARI,9,89,73,0.549,NL,NL_West,3,,0,,,,,,5.5,4.9,0.6,0,0.6,18,15,19,12,28,24,24,22,44,37,45,36,5,8,26,20,61,44,28,29,45,48,44,25,28.9,10,178306829,134502970,9600600,11703933,3001465
10,NYM,10,89,73,0.549,NL,NL_East,3,wildcard,1,2,3,2,,7,4.7,4.3,0.4,0,0.4,30,22,18,14,17,15,24,22,46,35,43,38,8,8,28,16,65,51,24,22,47,46,42,27,30.4,4,317483315,189012437,37578740,7505378,3931503
